ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
US65342K1051,BYX38K9,NextDecade Corp.,USD,2798,0.003167,United States,5.51,Energy,Oil Gas & Consumable Fuels
US87650L1035,BMH5RL1,Tarsus Pharmaceuticals Inc.,USD,441,0.003165,United States,34.94,Health Care,Pharmaceuticals
US94724R1086,BMDW0R3,Weave Communications Inc.,USD,1295,0.003165,United States,11.9,Information Technology,Software
US38246G1085,BMTVQT8,GoodRx Holdings Inc. Class A,USD,2293,0.00316,United States,6.71,Health Care,Health Care Technology
US29382R1077,2615112,Entravision Communications Corporation Class A,USD,8145,0.003145,United States,1.88,Communication Services,Media
BMG5269C1010,BD0MGM0,Kiniksa Pharmaceuticals Ltd. Class A,USD,818,0.003034,United States,18.06,Health Care,Biotechnology
US1381031061,BMH10B0,Cantaloupe Inc.,USD,2340,0.003023,United States,6.29,Financials,Financial Services
US4051661092,BP2RPZ3,Hagerty Inc Class A,USD,1639,0.00301,United States,8.94,Financials,Insurance
US22207T1016,BNLYJ71,Couchbase Inc.,USD,559,0.002998,United States,26.11,Information Technology,It Services
US57777K1060,BKMQF66,MaxCyte Inc.,USD,3523,0.002981,United States,4.12,Health Care,Life Sciences Tools & Services
US00847J1051,2689162,Agilysys Inc.,USD,175,0.002953,United States,82.16,Information Technology,Software
US89455T1097,BNG47W7,Treace Medical Concepts Inc.,USD,1203,0.002933,United States,11.87,Health Care,Health Care Equipment & Supplies
US5312297485,BPLYVQ8,Liberty Media Corp. Series A Liberty Live,USD,335,0.002871,United States,41.72,Communication Services,Entertainment
US03940C1009,BPCJ1Q2,Arcellx Inc.,USD,225,0.002866,United States,62.01,Health Care,Biotechnology
US8342033094,BL6JK96,Soleno Therapeutics Inc,USD,336,0.00285,United States,41.29,Health Care,Biotechnology
US02083G1004,BYX38M1,Alpine Immune Sciences Inc.,USD,391,0.002837,United States,35.33,Health Care,Biotechnology
US58985J1051,BMV7CG3,MeridianLink Inc.,USD,754,0.002829,United States,18.27,Information Technology,Software
US45569U1016,BP4W0C8,indie Semiconductor Inc. Class A,USD,2119,0.002794,United States,6.42,Information Technology,Semiconductors & Semiconductor Equipment
US10576N1028,BPLQR66,Braze Inc. Class A,USD,319,0.002775,United States,42.35,Information Technology,Software
US46222L1089,BP484B3,IonQ Inc.,USD,1479,0.00277,United States,9.12,Information Technology,Technology Hardware Storage & Peripherals
US98139A1051,BSS6HY8,Workiva Inc. Class A,USD,164,0.002716,United States,80.62,Information Technology,Software
US03152W1099,B19FQ48,Amicus Therapeutics Inc.,USD,1146,0.002698,United States,11.46,Health Care,Biotechnology
AU000000PLL5,BF1CV51,Piedmont Lithium Inc Chess Depository Interests,AUD,99200,0.002697,Australia,0.2,Materials,Metals & Mining
US00810F1066,BN2RY85,AerSale Corporation,USD,1822,0.002687,United States,7.18,Industrials,Aerospace & Defense
